datetime,light,twilight,interp,excluded
2010-07-28T23:24:30.000Z,64,0,FALSE,FALSE
2010-07-28T23:34:30.000Z,64,0,FALSE,FALSE
2010-07-28T23:44:30.000Z,64,0,FALSE,FALSE
2010-07-28T23:54:30.000Z,64,0,FALSE,FALSE
2010-07-29T00:04:30.000Z,64,0,FALSE,FALSE
2010-07-29T00:14:30.000Z,64,0,FALSE,FALSE
2010-07-29T00:24:30.000Z,64,0,FALSE,FALSE
2010-07-29T00:34:30.000Z,64,0,FALSE,FALSE
2010-07-29T00:44:30.000Z,64,0,FALSE,FALSE
2010-07-29T00:54:30.000Z,64,0,FALSE,FALSE
2010-07-29T01:04:30.000Z,64,0,FALSE,FALSE
2010-07-29T01:14:30.000Z,55,0,FALSE,FALSE
2010-07-29T01:24:30.000Z,43,0,FALSE,FALSE
2010-07-29T01:34:30.000Z,31,0,FALSE,FALSE
2010-07-29T01:44:30.000Z,15,0,FALSE,FALSE
2010-07-29T01:54:00.000Z,5.49999999990203,2,TRUE,FALSE
2010-07-29T01:54:30.000Z,5,0,FALSE,FALSE
2010-07-29T02:04:30.000Z,1,0,FALSE,FALSE
2010-07-29T02:14:30.000Z,1,0,FALSE,FALSE
2010-07-29T02:24:30.000Z,1,0,FALSE,FALSE
2010-07-29T02:34:30.000Z,1,0,FALSE,FALSE
2010-07-29T02:44:30.000Z,2,0,FALSE,FALSE
2010-07-29T02:54:30.000Z,2,0,FALSE,FALSE
2010-07-29T03:04:30.000Z,2,0,FALSE,FALSE
2010-07-29T03:14:30.000Z,3,0,FALSE,FALSE
2010-07-29T03:24:30.000Z,2,0,FALSE,FALSE
2010-07-29T03:34:30.000Z,3,0,FALSE,FALSE
2010-07-29T03:44:30.000Z,4,0,FALSE,FALSE
2010-07-29T03:54:30.000Z,4,0,FALSE,FALSE
2010-07-29T04:04:30.000Z,4,0,FALSE,FALSE
2010-07-29T04:14:30.000Z,4,0,FALSE,FALSE
2010-07-29T04:24:30.000Z,4,0,FALSE,FALSE
2010-07-29T04:34:30.000Z,4,0,FALSE,FALSE
2010-07-29T04:44:30.000Z,4,0,FALSE,FALSE
2010-07-29T04:54:30.000Z,4,0,FALSE,FALSE
2010-07-29T05:04:30.000Z,4,0,FALSE,FALSE
2010-07-29T05:14:30.000Z,4,0,FALSE,FALSE
2010-07-29T05:24:30.000Z,4,0,FALSE,FALSE
2010-07-29T05:34:30.000Z,4,0,FALSE,FALSE
2010-07-29T05:44:30.000Z,4,0,FALSE,FALSE
2010-07-29T05:54:30.000Z,4,0,FALSE,FALSE
2010-07-29T06:04:30.000Z,4,0,FALSE,FALSE
2010-07-29T06:14:30.000Z,4,0,FALSE,FALSE
2010-07-29T06:24:30.000Z,4,0,FALSE,FALSE
2010-07-29T06:34:30.000Z,4,0,FALSE,FALSE
2010-07-29T06:44:30.000Z,4,0,FALSE,FALSE
2010-07-29T06:54:30.000Z,4,0,FALSE,FALSE
2010-07-29T07:04:30.000Z,4,0,FALSE,FALSE
2010-07-29T07:14:30.000Z,4,0,FALSE,FALSE
2010-07-29T07:24:30.000Z,4,0,FALSE,FALSE
2010-07-29T07:34:30.000Z,4,0,FALSE,FALSE
2010-07-29T07:44:30.000Z,4,0,FALSE,FALSE
2010-07-29T07:54:30.000Z,4,0,FALSE,FALSE
2010-07-29T07:57:00.000Z,5.49999999990203,1,TRUE,FALSE
2010-07-29T08:04:30.000Z,10,0,FALSE,FALSE
2010-07-29T08:14:30.000Z,11,0,FALSE,FALSE
2010-07-29T08:24:30.000Z,11,0,FALSE,FALSE
2010-07-29T08:34:30.000Z,12,0,FALSE,FALSE
2010-07-29T08:44:30.000Z,12,0,FALSE,FALSE
2010-07-29T08:54:30.000Z,12,0,FALSE,FALSE
2010-07-29T09:04:30.000Z,12,0,FALSE,FALSE
2010-07-29T09:14:30.000Z,12,0,FALSE,FALSE
2010-07-29T09:24:30.000Z,13,0,FALSE,FALSE
2010-07-29T09:34:30.000Z,13,0,FALSE,FALSE
2010-07-29T09:44:30.000Z,14,0,FALSE,FALSE
2010-07-29T09:54:30.000Z,14,0,FALSE,FALSE
2010-07-29T10:04:30.000Z,13,0,FALSE,FALSE
2010-07-29T10:14:30.000Z,13,0,FALSE,FALSE
2010-07-29T10:24:30.000Z,12,0,FALSE,FALSE
2010-07-29T10:34:30.000Z,11,0,FALSE,FALSE
2010-07-29T10:44:30.000Z,11,0,FALSE,FALSE
2010-07-29T10:54:30.000Z,8,0,FALSE,FALSE
2010-07-29T11:04:30.000Z,9,0,FALSE,FALSE
2010-07-29T11:14:30.000Z,10,0,FALSE,FALSE
2010-07-29T11:24:30.000Z,21,0,FALSE,FALSE
2010-07-29T11:34:30.000Z,46,0,FALSE,FALSE
2010-07-29T11:44:30.000Z,64,0,FALSE,FALSE
2010-07-29T11:54:30.000Z,64,0,FALSE,FALSE
